"sourceUrl","anchor","title","kind","releasedRaw","modelNumberRaw","batteryRequirementRaw","rangeRaw","ammoRaw","accessoryPortsRaw","setNamesRaw","contentsRaw","originalPriceRaw","notesRaw"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","dualtargetset","Dual Target Set","set","1997","80503","8 AA's, 1 9-Volt",,,,,"1 Front Vest , 1 Laser Pistol , and 1 B.A.R.T.","$?","This set is similar to the Patrol Set, but offers a B.A.R.T. to entertain yourself if you have no one to play with. Dual Target Set Box laserchallenge_original_dualtarget.pdf (1531 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","exd","EX-D Super Laser","gear","1998","80514","4 AA's","200 ft.","25",,"Ex-treme Pak and Super Comp Set",,"$19.99","The Extreme Distance (EX-D) Laser Blaster is a large improvement over the Laser Pistols , but it still has that annoying beep. The beep's on the EX-D's are longer and softer then the pistols, but are still there. The EX-D also has rapid fire, which the pistol does not have. EX-D Super Laser laserchallenge_original_exd.pdf (768 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","ex-tremepak","Ex-treme Pak","set","1997",,"16 AA's",,,,,"2 Front Vest s, 2 EX-D Rifles, and 1 Laser Trap","$?","This is an interesting set. Good for adding more rifles to your Original gear arsenal. Ex-treme Pak Box Ex-treme Pak Gear"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","frontvest","Front Vest","gear","1997",,"3 AA's",,,"1","Dual Target Set , Ex-treme Pak , Patrol Set , Super Comp Set , and Team Force Set",,,"The original Laser Challenge front vest is one of the most common pieces of Laser Challenge gear. A back vest can be plugged into it to add a new challenge to the game. The front vest receives hits slowly, and has a sensor adjuster on the front to increase/decrease sensitivity in bright light. Front Vest Powerup (44 KB) laserchallenge_original_dualtarget.pdf (1531 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","laseralley","Laser Alley","gear","1997","80526","4 AA's","50 ft.",,"2",,,"$34.99","The Laser Alley allows you to play 5 different games with 20 different skill levels. You can also plug in Armine and Explodroid to increase the difficulty. Laser Alley Laser Alley Box laserchallenge_original_laseralley.pdf (79 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","laserpistol","Laser Pistol","gear","1997",,"2 AA's","50 ft.","6",,"Dual Target Set , Patrol Set , Team Force Set , and Tournament Set",,,"This is the original pistol, which doesn't fire very far and has a very annoying beep every 2 or 3 seconds. It has the standard reset button so you don't have to turn the vest on and off when you want to play again. Laser Pistol laserchallenge_original_dualtarget.pdf (1531 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","lasertrap","Laser Trap","gear","1997","80511T/2","2 AA's","50 ft. (360 o blast)",,,"Ex-treme Pak",,"$14.99","The Laser Trap has a 5 or 30 second delay mode. While it counts down it emits a buzzing sound. This is great for tossing at someone behind a structure or tree. This has a habit of resetting Laser Challenge gear that is more advanced then the original. This is best used with gear listed only on this page. Laser Trap laserchallenge_original_lasertrap.pdf (64 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","lightwarriors","Light Warriors","gear","1998",,"3 AA's","6 ft.",,,,,"$19.99","An interesting Laser Challenge toy. You fire at each others robot trying to deactivate it. When you deactivate your opponents, it's head pops up and spins in circles. Light Warriors"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","micromaxblaster","Micromax Blaster","gear","1998","80543","5 AAA's; 2 in the gun, 3 in the base.","50 - 150 ft.","12",,,,"$19.99 / 2 units","Small and compact, the vest and gun are small enough to fit in your pocket. The holster for the gun actually becomes a clip on vest. There is also a small extender that can boost the distance to about 150 ft. The nice thing about these guns also, they have a sound on/off just like the vest. So you can keep it quiet if you have to. To reload these guns all you have to do is hold the trigger in for about 2 seconds. Micromax Blasters laserchallenge_original_micromax.pdf (1100 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","patrolset","Patrol Set","set","1997","80501","5 AA's",,,,,"1 Front Vest and 1 Laser Pistol","$19.99","This was the first Laser Challenge product I bought. It was one of the first products released by Toymax along with the Team Force set."
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","shootbackbart","Shootback B.A.R.T.","gear","1998",,"3 AA's, 1 9-Volt","25 ft.",,,,,"$19.99","He's back with a vengeance. BART has been upgraded to retaliate at all the people shooting at it's brother. This one also takes 10 hits to disable, but fires at you while you try to disable it. Shootback B.A.R.T. Shootback B.A.R.T. with Box Shootback B.A.R.T. and B.A.R.T."
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","specialedition","Special Edition","gear","2000",,"?","150 ft.","?",,"Special Edition Set",,,"This vest/gun combo seems to have a look similar to V2 gear , but it is just like the normal Team Set, just a different look. I'm not sure if it has any special features like Max Blast or Blast Shields. Special Edition"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","specialeditionset","Special Edition Set","set","2000",,"?",,,,,"2 Vest/Gun Combo Units","$?","Bascially another version of the original gear with a new look. Special Edition Set Box"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","supercompset","Super Comp Set","set","1997",,"7 AA's",,,,,"1 Front Vest , 1 Back Vest , and 1 EX-D","$29.99","This was a good starter set. If you had to use original gear find this style of gear. Super Comp Set Box"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","teamforce2set","Team Force 2 Set","set","1999",,"10 AA's",,,,,"2 Front Vests and 2 Pistols","$34.99","This set is more of a cross between Laser Challenge Pro and the Original gear. The guns fire 150 ft. which is longer then the original pistols. The color scheme is also different (yellow, blue, and grey)."
